Role,Skills,core_skills,rare_imp_skills
"automotive engineer,auto engineer,vehicle engineer,car engineer","cad ,catia, solidworks,, vehicle dynamics, powertrain design, engine testing , calibration, automotive electronics, materials engineering, manufacturing processes, mechatronics, simulation tools ,matlab,simulink,, safety , regulatory standards, troubleshooting , diagnostics, project management, control systems, embedded systems knowledge, quality control","automotive design, cad ,catia, solidworks,, vehicle dynamics, engine knowledge, manufacturing processes, quality control, problem solving","lean manufacturing, cad optimization"
"business analyst,ba,business systems analyst,systems analyst","requirement gathering, data analysis, sql , database knowledge, excel , advanced spreadsheets, process modeling ,bpmn,, stakeholder management, business process improvement, reporting , dashboarding ,power bi, tableau,, documentation skills, problem-solving, agile,scrum methodologies, communication skills, data visualization, cost-benefit analysis, market research","data analysis, sql, database knowledge, excel , requirements gathering, communication, critical thinking, stakeholder management","business process modeling, reporting , dashboarding,power bi,  tableau,"
"chemical safety engineer,chem safety engineer,process safety engineer","hazard analysis ,hazop, fmea,, risk assessment, process safety management, chemical engineering principles, regulatory compliance ,osha, epa,, laboratory safety, emergency response planning, fire protection systems, material safety data sheets ,msds,, process control systems, incident investigation, environmental safety, industrial hygiene, safety auditing, reporting , documentation","hazard analysis, safety protocols, chemical handling, risk assessment, compliance, documentation, problem solving","hazop, chemical risk modeling"
"cyber security,information security,infosec,security analyst,cyber sec","network security, ethical hacking , penetration testing, firewalls , vpn, siem tools ,splunk, elk,, cryptography, vulnerability assessment, cloud security ,aws, azure,, malware analysis, security policies , compliance ,iso27001,, threat intelligence, programming ,python, bash,, incident response, risk management, ids,ips systems, endpoint security","network security, penetration testing, cryptography, risk assessment, firewall management, python, incident response","soc analysis, threat hunting"
"data engineer,de","sql , nosql databases, etl pipelines, data warehousing ,redshift, snowflake,, big data tools ,hadoop, spark,, python , java , scala, cloud platforms ,aws, gcp, azure,, api integration, data modeling, workflow orchestration ,airflow, luigi,, performance optimization, linux,unix commands, version control ,git,, streaming data ,kafka,, data governance , security, scheduling , automation","sql, etl, data warehousing, python, spark, hadoop, cloud platforms","airflow, dataops"
"data scientist,data science,ds","python , r,data cleaning , preprocessing, sql , nosql, data visualization ,matplotlib, seaborn, plotly,, feature engineering,  model evaluation , tuning, business problem understanding, a,b testing, time series analysis, reporting , communication","python, statistics , probability, machine learning,scikit-learn, xgboost,, data visualization, sql, data cleaning, problem solving,big data tools ,spark, hadoop,","feature engineering, model interpretability,  deep learning ,tensorflow, pytorch, nlp , computer vision,"
"devops,dev ops,devops engineer","ci,cd tools ,jenkins, github actions,, cloud platforms ,aws, gcp, azure,, containers , orchestration ,docker, kubernetes,, scripting ,python, bash,, monitoring , logging ,prometheus, grafana,, infrastructure as code ,terraform, ansible,, linux system administration, version control ,git,, build tools ,maven, gradle,, security , compliance, agile,scrum practices, networking basics, deployment automation, testing , rollback strategies, configuration management","ci/cd, docker, kubernetes, cloud platforms, scripting, monitoring, automation","terraform, ansible"
"embedded systems engineer,embedded software engineer,firmware engineer,embedded engineer","c , c++ programming, microcontrollers , microprocessors, rtos ,freertos, vxworks,, arm , avr , pic architecture, peripheral interfacing ,spi, i2c, uart,, debugging , testing, embedded linux, circuit design , pcb basics, signal processing, sensors , actuators, firmware development, communication protocols, power management, real-time constraints, version control ,git,","c/c++, microcontrollers, rtos, hardware-software integration, circuit design, debugging, signal processing","rtos optimization, hardware debugging"
"geotechnical engineer,geotech engineer,soils engineer","soil mechanics, foundation design, geotechnical investigations, slope stability analysis, retaining structures, groundwater , drainage, geotechnical software ,plaxis, geostudio,, site inspection , testing, earthquake engineering basics, rock mechanics, risk assessment, report writing, laboratory testing, surveying , mapping, project management","soil mechanics, site investigation, foundation design, autocad, report writing, problem solving, analytical thinking","slope stability, groundwater modeling"
"machine learning engineer,ml engineer,mle,ml dev,ml engineering","python , r, machine learning algorithms, data preprocessing, feature engineering, cloud ml platforms ,aws sagemaker, gcp ai,, big data processing ,spark,, hyperparameter tuning, sql , nosql, api integration, performance monitoring, mlops basics, statistics , probability","python, machine learning, deep learning, tensorflow, pytorch,nlp , computer vision,, data preprocessing, model deployment ,flask, fastapi,, statistics, tensorflow/pytorch","hyperparameter tuning, model explainability"
